wavelength_nm,blue_qe_percent,green_qe_percent,red_qe_percent
400,29.08381,5.51529,6.85811
405,33.02385,5.05232,6.01200
410,36.23982,4.56168,5.20919
415,39.10839,4.11991,4.55320
420,41.53590,3.74965,4.06162
425,43.81453,3.51247,3.67756
430,46.13965,3.45710,3.34845
435,48.54643,3.58943,3.04732
440,50.45601,3.76445,2.68461
445,52.09128,3.96159,2.30661
450,53.26292,4.27722,1.96838
455,53.84628,5.11290,1.71756
460,53.94877,7.07139,1.58721
465,53.46842,11.08762,1.62954
470,52.05231,17.55069,1.71591
475,49.94703,25.95536,1.78252
480,47.21425,35.15972,1.84246
485,43.76522,43.86509,1.88818
490,39.97205,51.08492,1.97277
495,36.07829,56.31315,2.15287
500,31.88056,59.51587,2.37642
505,27.59170,61.34535,2.69528
510,23.40833,62.80017,3.22209
515,19.57029,63.88685,3.83845
520,16.26915,64.41061,4.34901
525,13.58689,64.77453,4.68621
530,11.51220,65.11495,4.72794
535,9.88594,65.03248,4.40239
540,8.47475,64.38203,3.82777
545,7.16098,63.53154,3.27510
550,5.93336,62.58606,2.91160
555,4.82217,61.35880,2.81658
560,3.87259,59.75684,3.11089
565,3.15915,58.11908,4.63127
570,2.68543,56.36593,9.57769
575,2.38336,54.18459,18.49382
580,2.16406,51.50136,29.49176
585,1.97571,48.31131,41.07081
590,1.80004,44.46191,51.67756
595,1.64075,40.04125,58.89678
600,1.50689,35.26856,62.01628
605,1.40687,30.41472,62.66768
610,1.34935,25.85046,62.08676
615,1.34234,21.89929,61.12698
620,1.39509,18.71075,60.33788
625,1.51182,16.25813,59.64255
630,1.70277,14.43488,59.01778
635,1.96876,13.09147,58.48364
640,2.29640,12.05469,57.93512
645,2.66116,11.18206,57.05083
650,3.05803,10.51762,56.06330
655,3.47672,10.16448,55.14946
660,3.86611,10.16063,54.01492
665,4.18216,10.50291,52.43325
670,4.39418,11.13719,50.34274
675,4.51497,12.05183,48.10997
680,4.56254,13.15819,45.95281
685,4.59370,14.42820,44.29174
690,4.63635,15.82906,43.27899
695,4.67117,17.24905,42.91178
700,4.62919,18.44941,42.80693
705,4.48985,19.34806,42.92280
710,4.23957,19.84762,43.12527
715,3.90511,19.95266,43.35977
720,3.54609,19.76235,43.46821
725,3.22878,19.46650,43.34655
730,2.96331,19.10937,42.65403
735,2.76847,18.88568,41.55817
740,2.63684,18.86880,40.21684
745,2.56843,19.09719,38.93797
750,2.58337,19.63862,38.07305
755,2.71692,20.39933,37.65998
760,3.01192,21.19667,37.45366
765,3.51272,21.84354,37.09865
770,4.32859,22.32727,36.47524
775,5.57875,22.47707,35.27477
780,7.38348,22.40187,33.75991
785,9.83049,22.29115,32.25635
790,12.82782,22.25340,30.92166
795,15.96196,22.22878,29.70204
800,18.74385,22.27182,28.71996
805,20.86053,22.38295,27.94295
810,22.14315,22.42454,27.18778
815,22.60533,22.30411,26.37924
820,22.52504,21.96695,25.43897
825,22.31177,21.44921,24.40334
830,22.05798,20.70000,23.25924
835,21.81109,19.86661,22.16614
840,21.56541,19.11547,21.26170
845,21.33485,18.56895,20.61930
850,21.01002,18.16496,20.11818
855,20.55824,17.85523,19.63524
860,19.90536,17.46791,18.98307
865,19.09517,16.94696,18.18601
870,18.14517,16.28314,17.29815
875,17.10529,15.53714,16.38571
880,16.10524,14.80230,15.54823
885,15.22053,14.11117,14.81738
890,14.44761,13.46475,14.16173
895,13.77718,12.85455,13.54927
900,13.19997,12.25929,12.95362
905,12.66065,11.64678,12.34249
910,12.13638,11.03504,11.72305
915,11.56881,10.39605,11.04913
920,10.91338,9.71242,10.31136
925,10.18237,9.00177,9.54419
930,9.42380,8.31522,8.80370
935,8.64448,7.66576,8.10581
940,7.92801,7.10635,7.50926
945,7.33201,6.65872,7.03052
950,6.84383,6.29241,6.62675
955,6.43073,5.96735,6.26132
960,6.07796,5.66445,5.91836
965,5.74131,5.35256,5.57099
970,5.38378,5.00525,5.19781
975,4.99336,4.62424,4.80097
980,4.57946,4.23049,4.39953
985,4.16327,3.84786,4.01697
990,3.77307,3.49821,3.67050
995,3.38447,3.15649,3.33007
1000,3.09099,2.90845,3.08817
